Machine_ID,Item_ID,Operation_Name,Start_Time,Duration
C5637,AS12946S22,5653,2841,372
A4593,AS12947S22,5655,2884,428
A4554,AS12946S20,5651,2922,308
A4588,AS12946S22,5647,2946,490
A4598,AS12946S20,5647,2982,425
S3271,AS12946S22,5659,3018,502
A4580,AS12947S22,5655,3114,345
A4578,AS12946S20,5647,3114,345
A4572,AS12946S22,5649,3114,320
C5637,AS12946S22,5653,3214,372
C5635,AS12947S22,5657,3216,379
T3452,AS12947S22,5661,3216,302
Q3547,AS12947S22,5667,3240,480
A4593,AS12947S22,5655,3313,428
A4598,AS12946S22,5647,3408,425
A4592,AS12946S20,5649,3408,415
A4591,AS12946S22,5651,3435,440
A4588,AS12946S22,5647,3437,490
A4572,AS12946S22,5649,3437,320
A4578,AS12946S20,5647,3460,345
S3271,AS12946S22,5659,3521,502
C5637,AS12946S22,5653,3587,372
C5635,AS12947S22,5657,3596,379
T3452,AS12947S22,5661,3596,302
Q3547,AS12947S22,5667,3721,480
A4554,AS12946S22,5651,3758,308
A4572,AS12946S20,5649,3758,320
A4578,AS12946S20,5647,3806,345
A4592,AS12946S20,5649,3824,415
A4598,AS12946S20,5647,3834,425
A4591,AS12946S20,5651,3876,440
A4588,AS12946S20,5647,3928,490
C5637,AS12946S22,5653,3960,372
C5635,AS12947S22,5657,3976,379
T3452,AS12947S22,5661,3976,302
S3271,AS12946S22,5659,4024,502
A4572,AS12946S22,5649,4079,320
A4554,AS12946S20,5651,4079,308
A4578,AS12946S20,5647,4152,345
Q3547,AS12947S22,5667,4202,480
A4592,AS12946S22,5649,4240,415
A4598,AS12946S20,5647,4260,425
A4591,AS12946S20,5651,4317,440
C5637,AS12946S22,5653,4333,372
T3452,AS12947S22,5661,4356,302
C5635,AS12947S22,5657,4356,379
A4572,AS12946S20,5649,4400,320
A4554,AS12946S22,5651,4400,308
A4588,AS12946S20,5647,4419,490
A4578,AS12946S20,5647,4498,345
S3271,AS12946S22,5659,4527,502
A4592,AS12946S20,5649,4656,415
Q3547,AS12947S22,5667,4683,480
A4598,AS12946S20,5647,4686,425
C5637,AS12946S22,5653,4706,372
A4554,AS12946S22,5651,4709,308
A4572,AS12946S20,5649,4721,320
T3452,AS12947S22,5661,4736,302
C5635,AS12947S22,5657,4736,379
A4591,AS12946S20,5651,4758,440
S3271,AS12946S22,5659,5030,502
A4572,AS12946S20,5649,5042,320
A4554,AS12946S20,5651,5042,308
A4592,AS12946S20,5649,5072,415
C5637,AS12946S22,5653,5079,372
T3452,AS12947S22,5661,5116,302
Q3547,AS12947S22,5667,5164,480
A4591,AS12946S20,5651,5199,440
A4572,AS12946S20,5649,5363,320
A4554,AS12946S20,5651,5363,308
C5637,AS12946S22,5653,5452,372
A4592,AS12946S20,5649,5488,415
S3271,AS12946S22,5659,5533,502
A4591,AS12946S20,5651,5640,440
Q3547,AS12947S22,5667,5645,480
A4572,AS12946S20,5649,5684,320
A4554,AS12946S20,5651,5684,308
C5637,AS12946S22,5653,5825,372
A4554,AS12946S20,5651,5993,308
S3271,AS12946S22,5659,6036,502
A4591,AS12946S20,5651,6081,440
Q3547,AS12947S22,5667,6126,480
C5637,AS12946S22,5653,6198,372
S3271,AS12946S22,5659,6539,502
C5637,AS12946S20,5653,6571,372
C5637,AS12946S20,5653,6944,372
S3271,AS12946S22,5659,7042,502
C5637,AS12946S20,5653,7317,372
S3271,AS12946S22,5659,7545,502
C5637,AS12946S22,5653,7690,372
S3271,AS12946S22,5659,8048,502
C5637,AS12946S20,5653,8063,372
C5637,AS12946S20,5653,8436,372
S3271,AS12946S22,5659,8551,502
C5637,AS12946S20,5653,8809,372
S3271,AS12946S22,5659,9054,502
C5637,AS12946S20,5653,9182,372
C5637,AS12946S20,5653,9555,372
S3271,AS12945S22,5659,9557,502
C5637,AS12946S20,5653,9928,372
S3271,AS12946S20,5659,10060,502
K3675,AS12945S22,5663,10060,440
C5637,AS12946S20,5653,10301,372
Q3547,AS12945S22,5667,10501,480
S3271,AS12945S22,5659,10563,502
C5637,AS12946S20,5653,10674,372
C5637,AS12946S20,5653,11047,372
S3271,AS12946S20,5659,11066,502
K3675,AS12945S22,5663,11066,440
Q3547,AS12945S22,5667,11507,480
S3271,AS12945S22,5659,11569,502
S3271,AS12946S20,5659,12072,502
K3675,AS12945S22,5663,12072,440
Q3547,AS12945S22,5667,12513,480
S3271,AS12945S22,5659,12575,502
S3271,AS12946S20,5659,13078,502
K3675,AS12945S22,5663,13078,440
Q3547,AS12945S22,5667,13519,480
S3271,AS12946S20,5659,13581,502
S3271,AS12946S20,5659,14084,502
S3271,AS12945S22,5659,14587,502
S3271,AS12946S20,5659,15090,502
K3675,AS12945S22,5663,15090,440
Q3547,AS12945S22,5667,15531,480
S3271,AS12945S22,5659,15593,502
S3271,AS12946S20,5659,16096,502
K3675,AS12945S22,5663,16096,440
Q3547,AS12945S22,5667,16537,480
S3271,AS12945S22,5659,16599,502
S3271,AS12946S20,5659,17102,502
K3675,AS12945S22,5663,17102,440
Q3547,AS12945S22,5667,17543,480
S3271,AS12945S22,5659,17605,502
S3271,AS12946S20,5659,18108,502
K3675,AS12945S22,5663,18108,440
Q3547,AS12945S22,5667,18549,480
S3271,AS12946S20,5659,18611,502
S3271,AS12945S22,5659,19114,502
S3271,AS12945S22,5659,19617,502
K3675,AS12945S22,5663,19617,440
Q3547,AS12945S22,5667,20058,480
S3271,AS12945S22,5659,20120,502
K3675,AS12945S22,5663,20120,440
Q3547,AS12945S22,5667,20561,480
S3271,AS12945S22,5659,20623,502
K3675,AS12945S22,5663,20623,440
Q3547,AS12945S22,5667,21064,480
S3271,AS12946S20,5659,21126,502
K3675,AS12945S22,5663,21126,440
Q3547,AS12945S22,5667,21567,480
S3271,AS12945S20,5659,21629,502
S3271,AS12945S20,5659,22132,502
K3675,AS12945S20,5663,22132,440
Q3547,AS12945S20,5667,22573,480
S3271,AS12945S20,5659,22635,502
K3675,AS12945S20,5663,22635,440
Q3547,AS12945S20,5667,23076,480
S3271,AS12945S20,5659,23138,502
K3675,AS12945S20,5663,23138,440
Q3547,AS12945S20,5667,23579,480
S3271,AS12945S20,5659,23641,502
K3675,AS12945S20,5663,23641,440
Q3547,AS12945S20,5667,24082,480
S3271,AS12945S20,5659,24144,502
K3675,AS12945S20,5663,24144,440
Q3547,AS12945S20,5667,24585,480
S3271,AS12945S20,5659,24647,502
K3675,AS12945S20,5663,24647,440
Q3547,AS12945S20,5667,25088,480
S3271,AS12945S20,5659,25150,502
K3675,AS12945S20,5663,25150,440
Q3547,AS12945S20,5667,25591,480
S3271,AS12945S20,5659,25653,502
K3675,AS12945S20,5663,25653,440
Q3547,AS12945S20,5667,26094,480
S3271,AS12945S20,5659,26156,502
K3675,AS12945S20,5663,26156,440
Q3547,AS12945S20,5667,26597,480
K3675,AS12945S20,5663,26659,440
Q3547,AS12945S20,5667,27100,480
